time,x,y,z
24,2.25553,1.21602,9.24616
72,1.03950,0.47072,10.48933
123,1.78481,1.25525,10.25624
173,1.62790,0.50995,9.90659
223,2.41244,0.47072,10.25624
272,2.13785,1.17680,8.81881
322,3.11851,2.07901,8.15838
373,1.98094,-0.15691,9.55694
423,2.56934,1.37293,9.98429
472,0.92183,0.39227,9.40155
522,2.64780,1.52984,10.02313
572,2.96161,1.45138,8.00296
623,2.80470,0.78453,10.17855
673,2.88316,0.00000,9.05190
722,2.76548,0.70608,8.11952
772,4.05995,0.94144,9.32385
830,3.11851,0.86299,10.56703
874,3.66769,1.56906,7.03173
923,2.80470,0.98067,8.00296
973,4.72681,1.56906,9.71235
1023,5.00139,2.66741,7.42022
1073,3.04006,1.64752,9.44039
1123,2.60857,1.41216,8.77996
1172,3.66769,1.76520,9.79004
1222,4.53067,2.66741,6.79864
1273,3.31465,1.88288,8.46916
1322,3.62846,1.29448,8.77996
1372,4.49145,1.72597,7.53677
1422,4.56990,1.41216,8.46916
1473,4.17763,0.03923,10.10085
1523,4.49145,-0.19613,10.29509
1573,3.55001,-0.35304,10.87782
1623,3.66769,0.00000,10.72243
1673,4.45222,0.11768,10.06199
1723,4.29531,-0.11768,12.70376
1773,5.31520,0.94144,9.28500
1831,2.84393,1.29448,9.51809
1874,2.56934,1.33370,5.28351
1923,1.98094,2.03978,10.17855
1973,1.78481,4.58951,5.01156
2023,1.43177,3.45194,16.27790
2073,3.35387,4.47183,8.08068
2123,2.05940,1.33370,14.99586
2172,4.41299,0.27459,11.22747
2223,3.90305,0.58840,3.61299
2274,1.43177,-1.41216,6.68209
2323,2.76548,-0.43149,8.27492
2373,4.92294,-0.47072,15.19012
2423,4.49145,1.25525,6.91518
2472,6.72736,3.25581,7.26483
2523,3.07929,3.09890,9.82890
2573,3.90305,2.82432,1.16548
2623,5.62902,3.53039,7.03173
2673,3.04006,5.17791,8.00296
2722,8.80637,6.59007,6.52669
2772,3.74614,0.86299,13.32534
2828,6.17819,0.47072,13.32534
2873,1.54945,-2.19669,6.41014
2923,3.82459,-1.09834,3.37988
2972,2.09862,-2.31437,6.25475
3023,7.62957,0.19613,15.42321
3073,8.92405,3.05967,6.87634
3123,8.13952,2.51050,11.53826
3173,5.98206,3.49117,4.97271
3223,-0.68647,3.60885,2.91370
3272,6.53123,4.15802,4.23458
3323,1.35332,6.19780,14.25773
3373,5.70747,7.84532,14.33543
3423,7.62957,3.76575,2.64175
3473,2.17708,-0.15691,15.81171
3522,1.58868,0.50995,6.09935
3572,1.98094,2.31437,0.11654
3623,-2.68702,2.07901,10.10085
3673,4.25609,6.62930,12.93685
3722,2.21630,9.76742,3.45758
3773,0.21575,6.62930,9.32385
3830,3.47155,5.17791,5.63316
3872,-1.70636,4.43261,2.56406
3923,-0.49033,6.15858,10.06199
3973,0.52956,7.06079,12.66491
4024,-2.72625,8.11991,14.29658
4073,1.31409,2.62818,11.92676
4122,2.53012,0.27459,5.47775
4172,9.19864,0.54917,5.55547
4222,5.31520,-2.39282,7.14829
4273,4.92294,2.51050,10.64474
4323,3.86382,1.13757,22.41611
4373,-1.62790,6.08012,10.91668
4423,-6.53123,6.39394,-0.34963
4473,-2.37321,4.07957,12.54835
4523,1.86326,5.17791,-3.06910
4574,-9.66936,7.29615,20.51249
4622,5.27598,8.78676,5.47775
4673,0.01961,1.05912,18.99736
4722,2.60857,0.39227,-2.25326
