time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
831,55.75324730,48.74106520,14,193.30000,3.72190,27,13
1831,55.75331380,48.74123270,14,193.30000,7.63287,27,14
2828,55.75335700,48.74134190,14,193.30000,7.55520,27,14
3830,55.75323850,48.74099310,14,193.30000,1.60930,27,15
4828,55.75318830,48.74082520,14,193.30000,2.65754,27,15
5828,55.75316140,48.74063280,12,193.30000,4.48604,27,15
6831,55.75316590,48.74054810,10,193.30000,4.90997,27,15
7832,55.75317950,48.74046800,9,193.30000,5.05547,27,16
8832,55.75319550,48.74038700,8,193.30000,5.20402,27,16
9831,55.75320950,48.74030460,7,193.30000,5.00886,27,16
10834,55.75321930,48.74022310,4,193.30000,4.83394,27,15
11830,55.75322710,48.74014540,4,193.30000,4.66440,27,16
12830,55.75320210,48.74012280,6,193.30000,4.68720,27,16
13892,55.75319820,48.74004700,7,193.30000,5.04625,27,16
14887,55.75321910,48.73995820,8,193.30000,4.54788,27,16
15930,55.75323970,48.73986190,9,193.30000,4.85234,27,16
16937,55.75324450,48.73980880,10,193.30000,4.83684,27,16
17981,55.75325310,48.73972070,10,193.30000,4.82245,27,16
19034,55.75326010,48.73959300,10,193.30000,4.92162,27,15
20031,55.75326120,48.73955380,10,193.30000,4.93258,27,15
21088,55.75326860,48.73946650,10,193.30000,4.88843,27,16
22136,55.75328350,48.73936510,10,193.30000,5.03076,27,16
23180,55.75329460,48.73928340,10,193.30000,4.85480,27,16
24182,55.75330620,48.73921390,9,193.30000,3.92669,27,16
25179,55.75330160,48.73918310,10,193.30000,4.00704,27,16
26180,55.75327750,48.73912180,10,193.30000,4.15564,27,16
27179,55.75324310,48.73907750,10,193.30000,4.06748,27,16
28179,55.75320340,48.73907060,10,193.30000,4.10163,27,16
29185,55.75315960,48.73910100,10,193.30000,4.12925,27,16
30190,55.75312030,48.73915410,10,193.30000,4.58154,27,16
31179,55.75309260,48.73922060,10,193.30000,4.97208,27,16
32190,55.75306800,48.73929170,9,193.30000,4.78591,27,16
33183,55.75305730,48.73937730,10,193.30000,4.51207,27,16
34180,55.75303770,48.73945840,10,193.30000,4.60699,27,16
35192,55.75303100,48.73953550,10,193.30000,4.08370,27,16
36183,55.75302910,48.73956900,10,193.30000,3.99692,27,16
37184,55.75302760,48.73964040,10,193.30000,4.11828,27,16
38230,55.75302740,48.73967820,10,193.30000,4.21671,27,16
39228,55.75301900,48.73979670,11,193.30000,4.16924,27,15
40232,55.75301430,48.73987030,11,193.30000,4.34411,27,15
41233,55.75300620,48.73995180,11,193.30000,4.24697,27,15
42232,55.75300510,48.73999230,11,193.30000,4.08781,27,15
43230,55.75299610,48.74006210,12,193.30000,4.07830,27,15
44288,55.75298390,48.74012430,12,193.30000,3.75364,27,15
45282,55.75297720,48.74018990,12,193.30000,3.71529,27,15
46293,55.75297370,48.74025700,12,193.30000,3.65942,27,15
47281,55.75296690,48.74031880,12,193.30000,3.48807,27,15
48280,55.75296430,48.74034560,12,193.30000,3.42913,27,15
49283,55.75296450,48.74040670,12,193.30000,3.43953,27,15
50282,55.75297560,48.74047090,12,193.30000,3.23984,27,15
51285,55.75298740,48.74052520,12,193.30000,3.22218,27,15
52279,55.75300760,48.74056760,12,193.30000,3.45461,27,15
53282,55.75304450,48.74058600,12,193.30000,3.56093,27,15
54336,55.75307480,48.74060400,12,193.30000,4.45496,27,15
