INSTRUCTION    |.\src3.py      |.\src1.py      |.\src2.py      |.\src5.py      |.\__pycache__\t|print('Hello wo|
LOAD_CONST     |6              |8              |6              |11             |36             |1              |
LOAD_GLOBAL    |2              |1              |2              |2              |22             |0              |
FORMAT_VALUE   |0              |0              |0              |0              |18             |0              |
LOAD_FAST      |4              |5              |3              |2              |15             |0              |
CALL_FUNCTION  |4              |2              |3              |2              |14             |1              |
POP_TOP        |1              |1              |1              |1              |13             |0              |
BUILD_STRING   |0              |0              |0              |0              |9              |0              |
LOAD_DEREF     |0              |0              |0              |0              |8              |0              |
LOAD_METHOD    |0              |1              |1              |1              |7              |0              |
CALL_METHOD    |0              |1              |1              |1              |7              |0              |
STORE_FAST     |4              |4              |3              |2              |6              |0              |
STORE_NAME     |2              |2              |2              |3              |5              |0              |
BINARY_SUBSCR  |0              |0              |0              |0              |4              |0              |
IMPORT_NAME    |1              |1              |1              |1              |3              |0              |
RETURN_VALUE   |2              |2              |2              |3              |3              |1              |
BINARY_MULTIPLY|0              |0              |0              |0              |3              |0              |
BUILD_SLICE    |0              |0              |0              |0              |3              |0              |
LOAD_ATTR      |1              |0              |0              |0              |2              |0              |
INPLACE_ADD    |1              |2              |1              |0              |0              |0              |
MAKE_FUNCTION  |1              |1              |1              |2              |2              |0              |
LOAD_NAME      |2              |2              |2              |2              |0              |1              |
IMPORT_FROM    |0              |0              |0              |0              |2              |0              |
GET_ITER       |1              |0              |1              |1              |0              |0              |
FOR_ITER       |1              |0              |1              |1              |0              |0              |
JUMP_ABSOLUTE  |1              |1              |1              |1              |0              |0              |
COMPARE_OP     |0              |1              |0              |1              |0              |0              |
POP_JUMP_IF_FAL|0              |1              |0              |1              |0              |0              |
LOAD_CLOSURE   |0              |0              |0              |0              |1              |0              |
BUILD_TUPLE    |0              |0              |0              |0              |1              |0              |
CALL_FUNCTION_E|0              |0              |0              |0              |1              |0              |
